Date of Data,Recipient/Sub-Recipient Name,Recipient/Sub-Recipient Address,Recipient/Sub-Recipient City,Recipient/Sub-Recipient State Abbreviation,Recipient/Sub-Recipient ZIP Code,HAB Provider Type Description,Received Part A Funding Indicator,Part A Grantee Name,Part A Grant Number,Received Part B Funding Indicator,Part B Grantee Name,Part B Grant Number,Received Part C Funding Indicator,Part C Grantee Name,Part C Grant Number,Received Part D Funding Indicator,Part D Grantee Name,Part D Grant Number,Reporting Year,HHS Region Number,HHS Region Code,HHS Region Name,State Federal Information Processing Standard Code,State Name,State County FIPS Code,County FIPS,County or County Equivalent Name,County Description,County within 100 Kilometers of U.S. - Mexico Border Indicator,U.S. - Mexico Border 100 Kilometer Status Indicator,U.S. - Mexico Border County Indicator,Complete County Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Congress Number Text,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,U.S. Congressional Representative Title,U.S. Representative Party Code,U.S. House of Representatives Member Website,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common County Name with State Abbreviation,Common HHS Region Code,Common HHS Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State FIPS Code Congressional District Number,Common State Name,Common Postal Code,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,RWHAP Funded Services
03/25/2024,WARREN-VANCE COMMUNITY HEALTH CENTER INC,176 South Beckford Drive,Henderson,NC,27536-2598,Publicly funded community health center,Y,,,Y,"Health & Human Services, North Carolina Department Of",X07HA00051,Y,"Warren-Vance Community Health Center, Inc.",H76HA26853,Y,,,2023,4,04,Region 4,37,North Carolina,37181,181,Vance,County            ,N,N,N,Vance County,Thom Tillis,Thom Tillis,118,01,North Carolina District 01,3701,Donald G. Davis,Representative,D,https://dondavis.house.gov,-78.41107853,36.337748,"Henderson, NC",North Carolina District 01,118,"Vance County, NC",04,Region 4,NC,37181,37,3701,North Carolina,27536,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Medical transportation services; Psychosocial support services; Referral for health care/supportive services
03/25/2024,THE OHIO STATE UNIVERSITY INFECTIOUS DISEASE CLINIC,700 Ackerman Rd,Columbus,OH,43202-1559,Hospital or university-based clinic,Y,"COLUMBUS, CITY OF",H89HA25698,Y,"Health, Ohio Department of",X07HA00016,Y,,,Y,,,2023,5,05,Region 5,39,Ohio,39049,049,Franklin,County            ,N,N,N,Franklin County,Sherrod Brown,J.D. Vance,118,03,Ohio District 03,3903,Joyce Beatty,Representative,D,https://beatty.house.gov,-83.03315943,40.01862063,"Columbus, OH",Ohio District 03,118,"Franklin County, OH",05,Region 5,OH,39049,39,3903,Ohio,43202,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Medical case management (including treatment adherence)
03/25/2024,NATIVE AMERICAN HEALTH CENTER - OAKLAND,2950 International Blvd,Oakland,CA,94601-2228,Publicly funded community health center,Y,"ALAMEDA, COUNTY OF",H89HA00018,Y,,,Y,,,Y,,,2023,9,09,Region 9,06,California,06001,001,Alameda,County            ,N,N,N,Alameda County,Dianne Feinstein,Alex Padilla,118,12,California District 12,0612,Barbara Lee,Representative,D,https://lee.house.gov/,-122.22834122,37.77893947,"Oakland, CA",California District 12,118,"Alameda County, CA",09,Region 9,CA,06001,06,0612,California,94601,07/18/2024,2024/07/18,Oral health care
03/25/2024,ACCESS DENTAL CARE,125 S Park St,Asheboro,NC,27203-5624,Other facility,Y,,,Y,"Health & Human Services, North Carolina Department Of",X07HA00051,Y,,,Y,Central Carolina Health Network,H12HA24791,2023,4,04,Region 4,37,North Carolina,37151,151,Randolph,County            ,N,N,N,Randolph County,Thom Tillis,Thom Tillis,118,09,North Carolina District 09,3709,Richard Hudson,Representative,R,https://hudson.house.gov,-79.82039723,35.7052443,"Asheboro, NC",North Carolina District 09,118,"Randolph County, NC",04,Region 4,NC,37151,37,3709,North Carolina,27203,07/18/2024,2024/07/18,Oral health care
03/25/2024,EASTERN VIRGINIA MEDICAL SCHOOL,735 Fairfax Ave Ste 909C,Norfolk,VA,23507-2007,Solo/group private medical practice,Y,"Norfolk, City of",H89HA00053,Y,"HEALTH, VIRGINIA DEPARTMENT OF",X07HA00009,Y,Eastern Virginia Medical School,H76HA24728,Y,,,2023,3,03,Region 3,51,Virginia,51710,710,Norfolk City,City              ,N,N,N,Norfolk City,Mark R. Warner,Tim Kaine,118,03,Virginia District 03,5103,Robert C. “Bobby” Scott,Representative,D,https://bobbyscott.house.gov,-76.30290063,36.86057679,"Norfolk, VA",Virginia District 03,118,"Norfolk City, VA",03,Region 3,VA,51710,51,5103,Virginia,23507,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Health education/risk reduction; Medical transportation services; Outreach services; Referral for health care/supportive services
03/25/2024,EAU CLAIRE COOPERATIVE HEALTH CENTER,169 Laurelhurst Ave,Columbia,SC,29210-3825,Publicly funded community health center,Y,,,Y,,,Y,Eau Claire Cooperative Health Center,H76HA24740,Y,Eau Claire Cooperative Health Center,H12HA31110,2023,4,04,Region 4,45,South Carolina,45063,063,Lexington,County            ,N,N,N,Lexington County,Lindsey Graham,Tim Scott,118,02,South Carolina District 02,4502,Joe Wilson,Representative,R,https://joewilson.house.gov/,-81.12947449,34.05953498,"Columbia, SC",South Carolina District 02,118,"Lexington County, SC",04,Region 4,SC,45063,45,4502,South Carolina,29210,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Housing services; Medical transportation services; Outreach services; Psychosocial support services; Referral for health care/supportive services; Other Professional Services
03/25/2024,IDAHO STATE UNIVERSITY,921 S 8th Ave,Pocatello,ID,83201,Hospital or university-based clinic,Y,,,Y,,X07HA00002 / X08HA30,Y,IDAHO STATE UNIVERSITY,H76HA24732,Y,,,2023,10,10,Region 10,16,Idaho,16005,005,Bannock,County            ,N,N,N,Bannock County,Mike Crapo,James E. Risch,118,02,Idaho District 02,1602,Michael K. Simpson,Representative,R,https://simpson.house.gov,-112.43334742,42.86223773,"Pocatello, ID",Idaho District 02,118,"Bannock County, ID",10,Region 10,ID,16005,16,1602,Idaho,83201,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Home and community-based health services; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Linguistics services; Medical transportation services; Referral for health care/supportive services
03/25/2024,LITTLE RIVER MEDICAL CENTER INC,4303 Live Oak Dr,Little River,SC,29566-9138,Publicly funded community health center,Y,,,Y,"Health and Environmental Control, South Carolina Department of",X07HA00038,Y,"Little River Medical Center, Inc.",H76HA24735,Y,Eau Claire Cooperative Health Center,H12HA31110,2023,4,04,Region 4,45,South Carolina,45051,051,Horry,County            ,N,N,N,Horry County,Lindsey Graham,Tim Scott,118,07,South Carolina District 07,4507,Russell Fry,Representative,R,https://fry.house.gov,-78.59917246,33.88283025,"Little River, SC",South Carolina District 07,118,"Horry County, SC",04,Region 4,SC,45051,45,4507,South Carolina,29566,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Linguistics services; Medical transportation services; Outreach services
03/25/2024,AIDS HEALTHCARE FOUNDATION,"6255 W Sunset Blvd, Floor 21",Los Angeles,CA,90028-7422,Substance abuse treatment center,Y,,,Y,,,Y,,H76HA24724 / H76HA46,Y,,,2023,9,09,Region 9,06,California,06037,037,Los Angeles,County            ,N,N,N,Los Angeles County,Dianne Feinstein,Alex Padilla,118,30,California District 30,0630,Adam B. Schiff,Representative,D,https://schiff.house.gov/,-118.32556541,34.09802388,"Los Angeles, CA",California District 30,118,"Los Angeles County, CA",09,Region 9,CA,06037,06,0630,California,90028,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Case management (non-medical); Medical transportation services
03/25/2024,ST JAMES SOCIAL SERVICES,,,,,Other community-based service organization (CBO),Y,"CITY OF NEWARK, NEW JERSEY",H89HA00003,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals
03/25/2024,VANDERBILT UNIVERSITY COMPREHENSIVE CARE CLINIC,"719 Thompson Ln, Ste 37189",Nashville,TN,37204-4716,Hospital or university-based clinic,Y,"NASHVILLE & DAVIDSON COUNTY, METROPOLITAN GOVERNMENT OF",H89HA11433,Y,"Health, Tennessee Dept Of",X07HA00024,Y,Vanderbilt University Medical Center,H76HA30761,Y,Vanderbilt University Medical Center,H12HA30750,2023,4,04,Region 4,47,Tennessee,47037,037,Davidson,County            ,N,N,N,Davidson County,Marsha Blackburn,Bill Hagerty,118,05,Tennessee District 05,4705,Andrew Ogles,Representative,R,https://ogles.house.gov,-86.76377371,36.11193328,"Nashville, TN",Tennessee District 05,118,"Davidson County, TN",04,Region 4,TN,47037,47,4705,Tennessee,37204,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Referral for health care/supportive services
03/25/2024,VANDERBILT UNIVERSITY PEDIATRIC INFECTIOUS DISEASES,,,,,Hospital or university-based clinic,Y,,,Y,,,Y,,,Y,Vanderbilt University Medical Center,H12HA30750,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Medical case management (including treatment adherence)
03/25/2024,"SYSTECH CONSULTING GROUP, INC.",,,,,Other facility,Y,Municipio De San Juan,H89HA00009,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Administrative or technical support
03/25/2024,MAVERICK COUNTY HOSPITAL DISTRICT (MCHD),,,,,Other facility,Y,,,Y,"State Health Services, Texas Department of",X07HA00054,Y,,,Y,Bexar County Hospital District,H12HA31241,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Medical transportation services; Outreach services; Psychosocial support services
03/25/2024,MATRIX HUMAN SERVICES,1400 Woodbridge St,Detroit,MI,48207-3110,Other community-based service organization (CBO),Y,"DETROIT, CITY OF",H89HA00021,Y,"HEALTH & HUMAN SERVICES, MICHIGAN DEPARTMENT OF",X07HA00044,Y,,,Y,,,2023,5,05,Region 5,26,Michigan,26163,163,Wayne,County            ,N,N,N,Wayne County,Debbie Stabenow,Gary C. Peters,118,13,Michigan District 13,2613,Shri Thanedar,Representative,D,https://thanedar.house.gov,-83.03208842,42.33322133,"Detroit, MI",Michigan District 13,118,"Wayne County, MI",05,Region 5,MI,26163,26,2613,Michigan,48207,07/18/2024,2024/07/18,Planning or evaluation; Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Home and community-based health services; Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Psychosocial support services; Ending the HIV Epidemic Services
03/25/2024,COMPLETE CARE HEALTH NETWORK,,,,,Publicly funded community health center,Y,,,Y,"Health, New Jersey Department of",X07HA00017,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical case management (including treatment adherence); Case management (non-medical)
03/25/2024,AIDS HEALTHCARE FOUNDATION - PINELLAS,3404 26th Ave S,Saint Petersburg,FL,33711-3537,Other community-based service organization (CBO),Y,,,Y,"Health, Florida Department of",X07HA00057,Y,,H76HA46007,Y,,,2023,4,04,Region 4,12,Florida,12103,103,Pinellas,County            ,N,N,N,Pinellas County,Marco Rubio,Rick Scott,118,13,Florida District 13,1213,Anna Paulina Luna,Representative,R,https://luna.house.gov,-82.67968434,27.74467626,"Saint Petersburg, FL",Florida District 13,118,"Pinellas County, FL",04,Region 4,FL,12103,12,1213,Florida,33711,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Medical transportation services
03/25/2024,AIDS HEALTHCARE FOUNDATION - DISTRICT OF COLUMBIA,,,,,Other community-based service organization (CBO),Y,"DISTRICT OF COLUMBIA, GOVERNMENT OF",H89HA00012,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Administrative or technical support; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Case management (non-medical); Medical transportation services; Psychosocial support services
03/25/2024,CHILDRENS HEALTH CARE,2525 Chicago Ave,Minneapolis,MN,55404-4597,Hospital or university-based clinic,Y,HENNEPIN COUNTY,H89HA00050,Y,,,Y,,,Y,,H12HA46116,2023,5,05,Region 5,27,Minnesota,27053,053,Hennepin,County            ,N,N,N,Hennepin County,Amy Klobuchar,Tina Smith,118,05,Minnesota District 05,2705,Ilhan Omar,Representative,D,https://omar.house.gov/,-93.2618164,44.95682605,"Minneapolis, MN",Minnesota District 05,118,"Hennepin County, MN",05,Region 5,MN,27053,27,2705,Minnesota,55404,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Medical case management (including treatment adherence); Food bank/home-delivered meals; Health education/risk reduction; Medical transportation services
03/25/2024,"PINNACLE SERVICES, INC",724 Central Ave NE,Minneapolis,MN,55414-1121,Other community-based service organization (CBO),Y,HENNEPIN COUNTY,H89HA00050,Y,,,Y,,,Y,,,2023,5,05,Region 5,27,Minnesota,27053,053,Hennepin,County            ,N,N,N,Hennepin County,Amy Klobuchar,Tina Smith,118,05,Minnesota District 05,2705,Ilhan Omar,Representative,D,https://omar.house.gov/,-93.25063754,44.99124135,"Minneapolis, MN",Minnesota District 05,118,"Hennepin County, MN",05,Region 5,MN,27053,27,2705,Minnesota,55414,07/18/2024,2024/07/18,Home and community-based health services
03/25/2024,SCOTLAND COUNTY HEALTH DEPARTMENT,1405 West Boulevard,Laurinburg,NC,28352-9170,Health department,Y,,,Y,"Health & Human Services, North Carolina Department Of",X07HA00051,Y,,,Y,,,2023,4,04,Region 4,37,North Carolina,37165,165,Scotland,County            ,N,N,N,Scotland County,Thom Tillis,Thom Tillis,118,09,North Carolina District 09,3709,Richard Hudson,Representative,R,https://hudson.house.gov,-79.49110209,34.75931841,"Laurinburg, NC",North Carolina District 09,118,"Scotland County, NC",04,Region 4,NC,37165,37,3709,North Carolina,28352,07/18/2024,2024/07/18,Outpatient/ambulatory medical care
03/25/2024,YALE NEW HAVEN HOSPITAL INC,,,,,Hospital or university-based clinic,Y,,,Y,,,Y,,,Y,"CONNECTICUT CHILDRENS SPECIALTY GROUP, INC",H12HA31109,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Outpatient/ambulatory medical care
03/25/2024,SMART SOURCE TECHNOLOGY,,,,,Other facility,Y,,,Y,"HEALTH RESEARCH, INC.",X07HA00025,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Planning or evaluation
03/25/2024,ST. JOHNS WELL CHILD AND FAMILY CENTER,808 W 58th St,Los Angeles,CA,90037-3632,Publicly funded community health center,Y,COUNTY OF LOS ANGELES,H89HA00016,Y,,,Y,,,Y,,,2023,9,09,Region 9,06,California,06037,037,Los Angeles,County            ,N,N,N,Los Angeles County,Dianne Feinstein,Alex Padilla,118,37,California District 37,0637,Sydney Kamlager-Dove,Representative,D,https://kamlager-dove.house.gov,-118.28767091,33.98967693,"Los Angeles, CA",California District 37,118,"Los Angeles County, CA",09,Region 9,CA,06037,06,0637,California,90037,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical case management (including treatment adherence); Medical transportation services
03/25/2024,ALLIANCE FOR HOUSING AND HEALING,,,,,Other facility,Y,COUNTY OF LOS ANGELES,H89HA00016,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Emergency financial assistance; Housing services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - LOS ANGELES COUNTY, CA","6255 W Sunset Blvd, Floor 21",Los Angeles,CA,90028-7422,Other community-based service organization (CBO),Y,COUNTY OF LOS ANGELES,H89HA00016,Y,,,Y,,,Y,,,2023,9,09,Region 9,06,California,06037,037,Los Angeles,County            ,N,N,N,Los Angeles County,Dianne Feinstein,Alex Padilla,118,30,California District 30,0630,Adam B. Schiff,Representative,D,https://schiff.house.gov/,-118.32556541,34.09802388,"Los Angeles, CA",California District 30,118,"Los Angeles County, CA",09,Region 9,CA,06037,06,0630,California,90028,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Medical transportation services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - OAKLAND/ALAMEDA COUNTY, CA","400 30th St, Ste 300",Oakland,CA,94609-3318,Other community-based service organization (CBO),Y,"ALAMEDA, COUNTY OF",H89HA00018,Y,,,Y,,,Y,,,2023,9,09,Region 9,06,California,06001,001,Alameda,County            ,N,N,N,Alameda County,Dianne Feinstein,Alex Padilla,118,12,California District 12,0612,Barbara Lee,Representative,D,https://lee.house.gov/,-122.26487039,37.81904817,"Oakland, CA",California District 12,118,"Alameda County, CA",09,Region 9,CA,06001,06,0612,California,94609,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Medical case management (including treatment adherence)
03/25/2024,"AIDS HEALTHCARE FOUNDATION - SAN BERNADINO/RIVERSIDE, CA",8263 Grove Ave STE 201,Rancho Cucamonga,CA,91730-3107,Other community-based service organization (CBO),Y,"SAN BERNARDINO, COUNTY OF",H89HA00032,Y,,,Y,,,Y,,,2023,9,09,Region 9,06,California,06071,071,San Bernardino,County            ,N,N,N,San Bernardino County,Dianne Feinstein,Alex Padilla,118,35,California District 35,0635,Norma J. Torres,Representative,D,https://torres.house.gov/,-117.62851252,34.10436077,"Rancho Cucamonga, CA",California District 35,118,"San Bernardino County, CA",09,Region 9,CA,06071,06,0635,California,91730,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Food bank/home-delivered meals; Medical transportation services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - FT. LAUDERDALE/BROWARD COUNTY, FL",6333 N Federal Hwy,Fort Lauderdale,FL,33308-1907,Other community-based service organization (CBO),Y,"Broward, County of",H89HA00002,Y,,,Y,,,Y,,,2023,4,04,Region 4,12,Florida,12011,011,Broward,County            ,N,N,N,Broward County,Marco Rubio,Rick Scott,118,23,Florida District 23,1223,Jared Moskowitz,Representative,D,https://moskowitz.house.gov,-80.1083436,26.20582711,"Fort Lauderdale, FL",Florida District 23,118,"Broward County, FL",04,Region 4,FL,12011,12,1223,Florida,33308,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Medical transportation services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - JACKSONVILLE, FL","2 Shircliff Way, Ste 900",Jacksonville,FL,32204-4753,Other community-based service organization (CBO),Y,"JACKSONVILLE, CITY OF",H89HA00039,Y,,,Y,Aids Healthcare Foundation,H76HA24724,Y,,,2023,4,04,Region 4,12,Florida,12031,031,Duval,County            ,N,N,N,Duval County,Marco Rubio,Rick Scott,118,04,Florida District 04,1204,Aaron Bean,Representative,R,https://bean.house.gov,-81.68898312,30.30790815,"Jacksonville, FL",Florida District 04,118,"Duval County, FL",04,Region 4,FL,12031,12,1204,Florida,32204,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Medical transportation services; Outreach services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - MIAMI-DADE COUNTY, FL","3661 S Miami Ave, Ste 806",Miami,FL,33133-4223,Other community-based service organization (CBO),Y,"MIAMI-DADE, COUNTY OF",H89HA00005,Y,,,Y,,,Y,,,2023,4,04,Region 4,12,Florida,12086,086,Miami-Dade,County            ,N,N,N,Miami-Dade County,Marco Rubio,Rick Scott,118,27,Florida District 27,1227,Maria Elvira Salazar,Representative,R,https://salazar.house.gov,-80.21687852,25.74281665,"Miami, FL",Florida District 27,118,"Miami-Dade County, FL",04,Region 4,FL,12086,12,1227,Florida,33133,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Mental health services; Medical case management (including treatment adherence); Medical transportation services; Outreach services; Ending the HIV Epidemic Services
03/25/2024,AIDS HEALTHCARE FOUNDATION - ORLANDO,,,,,Other community-based service organization (CBO),Y,"Orange, County of",H89HA00030,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Medical nutrition therapy; Medical case management (including treatment adherence); Food bank/home-delivered meals; Medical transportation services; Referral for health care/supportive services
03/25/2024,"RUTGERS, THE STATE UNIVERSITY",,,,,Hospital or university-based clinic,Y,"PHILADELPHIA, CITY OF",H89HA00013,Y,,,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Oral health care
03/25/2024,"AIDS HEALTHCARE FOUNDATION - CLEVELAND, OH",2829 Euclid Ave,Cleveland,OH,44115-2413,Other community-based service organization (CBO),Y,CUYAHOGA COUNTY,H89HA23812,Y,,,Y,,,Y,,,2023,5,05,Region 5,39,Ohio,39035,035,Cuyahoga,County            ,N,N,N,Cuyahoga County,Sherrod Brown,J.D. Vance,118,11,Ohio District 11,3911,Shontel M. Brown,Representative,D,https://shontelbrown.house.gov,-81.66861442,41.5024461,"Cleveland, OH",Ohio District 11,118,"Cuyahoga County, OH",05,Region 5,OH,39035,39,3911,Ohio,44115,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Medical transportation services
03/25/2024,"AIDS HEALTHCARE FOUNDATION - COLUMBUS, OH",815 W Broad St,Columbus,OH,43222-1464,Other community-based service organization (CBO),Y,"COLUMBUS, CITY OF",H89HA25698,Y,,,Y,,,Y,,,2023,5,05,Region 5,39,Ohio,39049,049,Franklin,County            ,N,N,N,Franklin County,Sherrod Brown,J.D. Vance,118,15,Ohio District 15,3915,Mike Carey,Representative,R,https://carey.house.gov,-83.02261365,39.95951522,"Columbus, OH",Ohio District 15,118,"Franklin County, OH",05,Region 5,OH,39049,39,3915,Ohio,43222,07/18/2024,2024/07/18,Administrative or technical support; Outpatient/ambulatory medical care; Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Health education/risk reduction; Medical transportation services; Ending the HIV Epidemic Services
